Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1984,28,0,0,0,NV,NEVADA
1984,29,457745.2402,61.77148266,61.77148266,NH,NEW HAMPSHIRE
1984,30,4539202.576,633.4414263,633.4414263,NJ,NEW JERSEY
1984,31,20794.23547,55.67817111,35.72687426,NM,NEW MEXICO
1984,32,16946452.41,2087.719046,2087.719046,NY,NEW YORK
1984,33,51216271.24,5264.122333,5264.122333,NC,NORTH CAROLINA
1984,34,2443702.841,11065.95081,4160.682021,ND,NORTH DAKOTA
1984,35,123997044.2,22304.78004,22304.78004,OH,OHIO
1984,36,132751.5536,1983.257714,486.2825544,OK,OKLAHOMA
1984,37,0,0,0,OR,OREGON
1984,38,27485999.52,3130.905227,3130.905227,PA,PENNSYLVANIA
1984,39,0,0,0,RI,RHODE ISLAND
1984,40,22524398.97,2686.629933,2686.629933,SC,SOUTH CAROLINA
1984,41,11497172.07,28826.50636,15531.50248,SD,SOUTH DAKOTA
1984,42,45940292.34,5760.613242,5758.044692,TN,TENNESSEE
1984,43,691830.9709,1885.759825,829.7375331,TX,TEXAS
1984,44,0,0,0,UT,UTAH
1984,45,2352068.324,271.7736071,271.7736071,VT,VERMONT
1984,46,20366670.82,2673.497272,2673.497272,VA,VIRGINIA
1984,47,0,0,0,WA,WASHINGTON
1984,48,5019687.912,593.5980441,593.5980441,WV,WEST VIRGINIA
1984,49,14291475.72,8009.85095,7954.017264,WI,WISCONSIN
1984,50,0,0,0,WY,WYOMING
1985,0,13365273.8,1447.020528,1447.020528,AL,ALABAMA
1985,2,0,0,0,AZ,ARIZONA
1985,3,3038044.589,2640.73483,1958.620189,AR,ARKANSAS
1985,4,0,0,0,CA,CALIFORNIA
1985,5,39752.76979,303.3674234,112.3528925,CO,COLORADO
1985,6,138910.4875,22.23923069,22.23923069,CT,CONNECTICUT
1985,7,4203080.957,753.6817587,750.0576384,DE,DELAWARE
1985,8,4077.010119,0.684580504,0.684580504,DC,DISTRICT OF COLUMBIA
1985,9,550522.1876,79.3353134,79.3353134,FL,FLORIDA
1985,10,9147165.793,1166.133028,1166.133028,GA,GEORGIA
1985,12,0,0,0,ID,IDAHO
1985,13,385584962,47011.13845,45195.023,IL,ILLINOIS
1985,14,217388692.8,26889.12486,26889.12486,IN,INDIANA
1985,15,101485704.5,51938.90098,50627.67175,IA,IOWA
1985,16,31987977.54,13635.68613,11999.76027,KS,KANSAS
1985,17,56183801.8,7420.668652,7420.668652,KY,KENTUCKY
1985,18,9077487.331,4262.757182,4261.856221,LA,LOUISIANA
1985,19,498112.9395,88.07362568,88.07362568,ME,MAINE
1985,20,11692960.11,2082.842797,1938.884725,MD,MARYLAND
