ID,State,Commodity,Cause of Loss,Payment Indemnity,Payment Acreage,Year
9,Vermont,Corn,Drought,0.0,0.0,1992
11,Oregon,Corn,Drought,0.0,0.0,1992
12,New Hampshire,Corn,Drought,0.0,0.0,1992
14,Massachusetts,Corn,Drought,0.0,0.0,1992
16,New York,Corn,Drought,0.0,0.0,1992
18,Connecticut,Corn,Drought,0.0,0.0,1992
19,Rhode Island,Corn,Drought,0.0,0.0,1992
20,New Jersey,Corn,Drought,0.0,0.0,1992
22,Nevada,Corn,Drought,0.0,0.0,1992
23,Utah,Corn,Drought,0.0,0.0,1992
24,California,Corn,Drought,0.0,0.0,1992
29,West Virginia,Corn,Drought,0.0,0.0,1992
31,Colorado,Corn,Drought,0.0,0.0,1992
36,Arizona,Corn,Drought,0.0,0.0,1992
37,Oklahoma,Corn,Drought,0.0,0.0,1992
41,New Mexico,Corn,Drought,0.0,0.0,1992
21,Indiana,Corn,Drought,180932.56,3008.482981,1993
37,Oklahoma,Corn,Drought,28719.8,868.5365,1993
46,Arkansas,Corn,Drought,67903.6,1219.9,1993
38,North Carolina,Corn,Drought,5212487.98,73185.798385,1993
5,South Dakota,Corn,Drought,13842.9,242.6784,1993
43,Mississippi,Corn,Drought,39694.2,1260.0,1993
26,Illinois,Corn,Drought,56874.8,961.4455,1993
15,Nebraska,Corn,Drought,2161.4,98.56,1993
33,Kansas,Corn,Drought,52142.8,1176.62573,1993
10,Minnesota,Corn,Drought,37255.35,384.35,1993
28,Delaware,Corn,Drought,547604.67,7945.8275,1993
16,New York,Corn,Drought,367637.05,8179.2696,1993
44,Georgia,Corn,Drought,1890415.83,37757.176,1993
7,Wisconsin,Corn,Drought,28289.2,399.01,1993
42,Alabama,Corn,Drought,734354.0,12127.49576,1993
13,Iowa,Corn,Drought,11052.93,238.6875,1993
25,Ohio,Corn,Drought,3729205.3,76208.893065,1993
49,Michigan,Corn,Drought,91955.92,1720.525675,1993
40,Texas,Corn,Drought,871472.4,18679.038115,1993
31,Colorado,Corn,Drought,15428.7,374.24912,1993
35,Missouri,Corn,Drought,6989.0,220.685,1993
32,Kentucky,Corn,Drought,798651.9,15643.9799,1993
45,South Carolina,Corn,Drought,1956039.95,30170.04545,1993
4,North Dakota,Corn,Drought,3467.0,216.77,1993
39,Tennessee,Corn,Drought,196292.83,3659.076729,1993
48,Florida,Corn,Drought,164118.0,2860.44,1993
30,Maryland,Corn,Drought,1913758.24,32925.6409,1993
47,Louisiana,Corn,Drought,214427.0,4164.5083,1993
17,Pennsylvania,Corn,Drought,2516042.85,41647.32018,1993
34,Virginia,Corn,Drought,2353301.65,36674.7229,1993
29,West Virginia,Corn,Drought,269706.9,4333.74,1993
1,Washington,Corn,Drought,0.0,0.0,1993
2,Montana,Corn,Drought,0.0,0.0,1993
3,Maine,Corn,Drought,0.0,0.0,1993
6,Wyoming,Corn,Drought,0.0,0.0,1993
8,Idaho,Corn,Drought,0.0,0.0,1993
9,Vermont,Corn,Drought,0.0,0.0,1993
11,Oregon,Corn,Drought,0.0,0.0,1993
12,New Hampshire,Corn,Drought,0.0,0.0,1993
14,Massachusetts,Corn,Drought,0.0,0.0,1993
18,Connecticut,Corn,Drought,0.0,0.0,1993
19,Rhode Island,Corn,Drought,0.0,0.0,1993
20,New Jersey,Corn,Drought,0.0,0.0,1993
22,Nevada,Corn,Drought,0.0,0.0,1993
23,Utah,Corn,Drought,0.0,0.0,1993
24,California,Corn,Drought,0.0,0.0,1993
36,Arizona,Corn,Drought,0.0,0.0,1993
41,New Mexico,Corn,Drought,0.0,0.0,1993
21,Indiana,Corn,Drought,1497534.49,28270.725013,1994
37,Oklahoma,Corn,Drought,28807.0,700.0921,1994
46,Arkansas,Corn,Drought,3106.0,86.25,1994
38,North Carolina,Corn,Drought,2245377.81,42297.68659,1994
5,South Dakota,Corn,Drought,271481.95,11070.70982,1994
26,Illinois,Corn,Drought,846357.08,20871.84351,1994
2,Montana,Corn,Drought,804.0,77.48,1994
15,Nebraska,Corn,Drought,123680.59,5096.5695,1994
33,Kansas,Corn,Drought,330380.3,8438.980942,1994
10,Minnesota,Corn,Drought,152433.58,4381.3096,1994
28,Delaware,Corn,Drought,19110.5,550.0075,1994
16,New York,Corn,Drought,26813.4,771.71,1994
44,Georgia,Corn,Drought,31721.4,1130.57,1994
7,Wisconsin,Corn,Drought,347994.97,8143.388,1994
42,Alabama,Corn,Drought,7310.4,204.06,1994
13,Iowa,Corn,Drought,219655.09,7263.80338,1994
25,Ohio,Corn,Drought,866552.69,24506.23796,1994
49,Michigan,Corn,Drought,109949.54,2343.229,1994
40,Texas,Corn,Drought,1273246.7,28977.922135,1994
31,Colorado,Corn,Drought,166487.59,5404.107955,1994
35,Missouri,Corn,Drought,1383191.9,30408.054775,1994
32,Kentucky,Corn,Drought,373333.7,6684.9603,1994
45,South Carolina,Corn,Drought,333658.79,8367.733,1994
4,North Dakota,Corn,Drought,154914.9,7998.23338,1994
39,Tennessee,Corn,Drought,3093.1,106.1726,1994
48,Florida,Corn,Drought,5460.9,149.27,1994
30,Maryland,Corn,Drought,91456.75,2526.08,1994
47,Louisiana,Corn,Drought,7727.25,338.9,1994
17,Pennsylvania,Corn,Drought,538108.2,9564.8123,1994
34,Virginia,Corn,Drought,856372.55,17286.1802,1994
29,West Virginia,Corn,Drought,40484.8,921.5,1994
1,Washington,Corn,Drought,0.0,0.0,1994
3,Maine,Corn,Drought,0.0,0.0,1994
