Year,Units,scenario,region,sector,value
2029,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.134085
2030,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.135681
2031,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.13276179999999999
2032,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1298426
2033,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1269234
2034,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1240042
2035,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.121085
2036,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.122677
2037,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.12426899999999999
2038,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.125861
2039,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.12745299999999998
2040,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.129045
2041,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.128241
2042,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.127437
2043,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.126633
2044,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.125829
2045,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.125025
2046,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1227222
2047,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1204194
2048,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1181166
2049,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1158138
2050,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.113511
2051,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1150232
2052,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1165354
2053,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1180476
2054,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1195598
